timestamp,domain,mode,server_ip,step,response,rtt_ms,total_time_ms,cache_status,servers_visited
2025-10-26T19:04:19.837901,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",28.3329,28.6288,N/A (No Cache),1
2025-10-26T19:04:19.866895,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",87.2805,87.5597,N/A (No Cache),1
2025-10-26T19:04:19.954785,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",26.5720,26.7935,N/A (No Cache),1
2025-10-26T19:04:19.981820,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",25.9321,26.1712,N/A (No Cache),1
2025-10-26T19:04:20.008245,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",178.1938,178.4909,N/A (No Cache),1
2025-10-26T19:04:20.187005,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",28.7788,29.0546,N/A (No Cache),1
2025-10-26T19:04:20.216408,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",27.6723,28.0039,N/A (No Cache),1
2025-10-26T19:04:20.244781,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",26.8679,27.2033,N/A (No Cache),1
2025-10-26T19:04:20.272237,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",25.4743,25.7156,N/A (No Cache),1
2025-10-26T19:04:20.298168,i1.api.augmentcode.com (A),Forwarding,8.8.8.8,Forwarded,"Response Received",32.6054,32.8293,N/A (No Cache),1
2025-10-26T19:04:20.331202,mobile.events.data.microsoft.com (A),Forwarding,8.8.8.8,Forwarded,"Response Received",23.8793,24.0946,N/A (No Cache),1
2025-10-26T19:04:20.355539,mobile.events.data.microsoft.com (UNKNOWN),Forwarding,8.8.8.8,Forwarded,"Response Received",24.4610,24.7543,N/A (No Cache),1
2025-10-26T19:04:20.380498,mtalk.google.com (A),Forwarding,8.8.8.8,Forwarded,"Response Received",25.6517,25.9171,N/A (No Cache),1
2025-10-26T19:04:20.406917,mtalk.google.com (A),Forwarding,8.8.8.8,Forwarded,"Response Received",24.8129,25.1405,N/A (No Cache),1
2025-10-26T19:04:20.432363,i1.api.augmentcode.com (AAAA),Forwarding,8.8.8.8,Forwarded,"Response Received",24.9002,25.1517,N/A (No Cache),1
2025-10-26T19:04:27.879924,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",28.1689,28.3511,N/A (No Cache),1
2025-10-26T19:04:27.970455,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",24.7812,24.9467,N/A (No Cache),1
2025-10-26T19:04:27.995528,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",26.8579,26.9699,N/A (No Cache),1
2025-10-26T19:04:28.022603,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",26.1583,26.3038,N/A (No Cache),1
2025-10-26T19:04:28.200477,wpad (A),Forwarding,8.8.8.8,Forwarded,"Response Received",29.5229,29.8204,N/A (No Cache),1
